address,longitude,latitude,x,y
창원시 의창구 ,128.6401544,35.2540033,90,77
창원시 의창구 동읍,128.682513,35.284725,91,78
창원시 의창구 북면,128.6070384,35.3477816,89,79
창원시 의창구 대산면,128.7077811,35.332427,91,79
창원시 의창구 의창동,128.6229495,35.2621267,90,77
창원시 의창구 팔룡동,128.6123236,35.2578111,90,77
창원시 의창구 명곡동,128.6402341,35.2535471,90,77
창원시 의창구 봉림동,128.6673448,35.2519644,91,77
창원시 성산구 ,128.7029401,35.1983844,91,76
창원시 성산구 반송동,128.6695125,35.2359429,91,77
창원시 성산구 용지동,128.6841286,35.2362277,91,77
창원시 성산구 중앙동,128.673695,35.2210983,91,77
창원시 성산구 상남동,128.687212,35.216268,91,76
창원시 성산구 사파동,128.708712,35.215843,91,76
창원시 성산구 가음정동,128.700594,35.2131393,91,76
창원시 성산구 성주동,128.6950205,35.1897409,91,76
창원시 성산구 웅남동,128.6271625,35.2053096,90,76
창원시 마산합포구 ,128.567863,35.196874,89,76
창원시 마산합포구 구산면,128.580887,35.119699,89,74
창원시 마산합포구 진동면,128.488325,35.115182,88,74
창원시 마산합포구 진북면,128.467412,35.115474,87,74
창원시 마산합포구 진전면,128.418987,35.10289,86,74
창원시 마산합포구 현동,128.5770118,35.1388574,89,75
창원시 마산합포구 가포동,128.57205,35.169568,89,75
창원시 마산합포구 월영동,128.5577505,35.1793142,89,76
창원시 마산합포구 문화동,128.558175,35.184685,89,76
창원시 마산합포구 중앙동,128.5641375,35.1940929,89,76
창원시 마산합포구 완월동,128.564137,35.199526,89,76
창원시 마산합포구 자산동,128.5654462,35.2055381,89,76
창원시 마산합포구 교방동,128.566238,35.214335,89,76
창원시 마산합포구 오동동,128.5786,35.208768,89,76
창원시 마산합포구 합포동,128.5791278,35.2109247,89,76
창원시 마산합포구 산호동,128.5859895,35.2160999,89,76
창원시 마산회원구 ,128.579706,35.220932,89,76
창원시 마산회원구 내서읍,128.507625,35.24681,88,77
창원시 마산회원구 회원1동,128.5742472,35.2182626,89,76
창원시 마산회원구 회원2동,128.569238,35.218901,89,76
창원시 마산회원구 석전동,128.57335,35.230185,89,77
창원시 마산회원구 회성동,128.561637,35.233076,89,77
창원시 마산회원구 양덕1동,128.586212,35.23231,89,77
창원시 마산회원구 양덕2동,128.583925,35.229201,89,77
창원시 마산회원구 합성1동,128.5839889,35.2422167,89,77
창원시 마산회원구 합성2동,128.586195,35.2410453,89,77
창원시 마산회원구 구암1동,128.593525,35.2493833,89,77
창원시 마산회원구 구암2동,128.598388,35.24901,89,77
창원시 마산회원구 봉암동,128.6024625,35.2175954,89,76
창원시 진해구 ,128.710081,35.13306,91,75
창원시 진해구 충무동,128.660338,35.15054,91,75
창원시 진해구 여좌동,128.6603153,35.1585489,91,75
창원시 진해구 태백동,128.6773763,35.1538996,91,75
창원시 진해구 경화동,128.686838,35.154357,91,75
창원시 진해구 병암동,128.6895627,35.154983,91,75
창원시 진해구 석동,128.7000326,35.1586454,91,75
창원시 진해구 이동,128.6999119,35.1493421,91,75
창원시 진해구 자은동,128.7054364,35.1470924,91,75
창원시 진해구 덕산동,128.7037445,35.1433466,91,75
창원시 진해구 풍호동,128.707313,35.137599,91,75
창원시 진해구 웅천동,128.7496332,35.111338,92,74
창원시 진해구 웅동1동,128.7826923,35.1258956,93,75
창원시 진해구 웅동2동,128.814835,35.1012816,93,74
진주시 ,128.109999999999,35.1770333333333,81,75
진주시 문산읍,128.166511111111,35.1660027777777,82,75
진주시 내동면,128.069622222222,35.1623833333333,80,75
진주시 정촌면,128.104975,35.1281305555555,81,74
진주시 금곡면,128.190022222222,35.0912638888888,82,73
진주시 진성면,128.225544444444,35.1819222222222,83,75
진주시 일반성면,128.279277777777,35.1680305555555,84,75
진주시 이반성면,128.328552777777,35.1661722222222,85,75
진주시 사봉면,128.272711111111,35.1852083333333,84,75
진주시 지수면,128.271844444444,35.2318944444444,83,76
진주시 대곡면,128.171575,35.2612194444444,82,77
진주시 금산면,128.150111111111,35.2109333333333,81,76
진주시 집현면,128.088586111111,35.23595,80,76
진주시 미천면,128.117577777777,35.2961388888888,81,78
진주시 명석면,128.042541666666,35.2165111111111,79,76
진주시 대평면,127.963022222222,35.2296111111111,78,76
진주시 수곡면,127.934288888888,35.1955861111111,77,75
진주시 천전동,128.084786,35.180709,80,75
진주시 성북동,128.078257,35.195742,80,76
진주시 중앙동,128.088422222222,35.1889638888888,80,75
진주시 상봉동,128.075111,35.198564,80,76
진주시 상대동,128.111758,35.180217,81,75
진주시 하대동,128.129575,35.1861777777777,81,75
진주시 상평동,128.111222222222,35.1730861111111,81,75
진주시 초장동,128.117177777777,35.1984472222222,81,76
진주시 평거동,128.04002,35.16379,79,75
진주시 신안동,128.0712,35.1814722222222,80,75
진주시 이현동,128.063952777777,35.1896916666666,80,75
진주시 판문동,128.054466666666,35.1650472222222,80,75
진주시 가호동,128.108822222222,35.1569444444444,81,75
진주시 충무공동,128.135843,35.182951,81,75
통영시 ,128.435277777777,34.8512583333333,87,68
통영시 산양읍,128.397908333333,34.8003166666666,86,67
통영시 용남면,128.444588888888,34.86455,87,68
통영시 도산면,128.364155555555,34.9000777777777,85,69
통영시 광도면,128.409208333333,34.8965555555555,86,69
통영시 욕지면,128.265577777777,34.6332083333333,84,63
통영시 한산면,128.5099,34.7640111111111,88,66
통영시 사량면,128.222088888888,34.8423916666666,83,68
통영시 도천동,128.415788888888,34.8339194444444,86,68
통영시 명정동,128.421952777777,34.8394638888888,86,68
통영시 중앙동,128.429197222222,34.8434222222222,87,68
통영시 정량동,128.432433333333,34.8399361111111,87,68
통영시 북신동,128.427686111111,34.8539416666666,87,68
통영시 미수동,128.4005325,34.82363943,86,68
통영시 봉평동,128.416755555555,34.829575,86,68
통영시 무전동,128.434641666666,34.85425,87,68
사천시 ,128.066777777777,35.0002833333333,80,71
사천시 사천읍,128.093355555555,35.0796805555555,80,73
사천시 정동면,128.126111111111,35.0530083333333,81,72
사천시 사남면,128.077408333333,35.0494444444444,80,72
사천시 용현면,128.063444444444,35.0103527777777,80,71
사천시 축동면,128.090611111111,35.1040555555555,80,74
사천시 곤양면,127.961819444444,35.0544361111111,78,72
사천시 곤명면,127.943755555555,35.1089194444444,78,74
사천시 서포면,127.979075,35.0043194444444,78,71
사천시 동서동,128.071308333333,34.9254444444444,80,70
사천시 선구동,128.074311111111,34.9265972222222,80,70
사천시 동서금동,128.080855555555,34.9278527777777,80,70
사천시 벌용동,128.081863888888,34.940625,80,70
사천시 향촌동,128.095633333333,34.9306444444444,81,70
사천시 남양동,128.065422222222,34.9664861111111,80,71
김해시 ,128.891666666666,35.2255055555555,95,77
김해시 진영읍,128.735555555555,35.3012416666666,92,78
김해시 주촌면,128.832908333333,35.2327083333333,93,77
김해시 진례면,128.749988888888,35.2459555555555,92,77
김해시 한림면,128.804508333333,35.3175055555555,93,79
김해시 생림면,128.851666666666,35.3248833333333,94,79
김해시 상동면,128.932697222222,35.3046444444444,95,78
김해시 대동면,128.982475,35.2391972222222,96,77
김해시 동상동,128.885733333333,35.2337861111111,94,77
김해시 회현동,128.880555555555,35.2284916666666,94,77
김해시 부원동,128.888822222222,35.2256694444444,94,77
김해시 내외동,128.866722222222,35.23195,94,77
김해시 북부동,128.869752777777,35.2592722222222,94,77
김해시 칠산서부동,128.873241666666,35.2197666666666,94,76
김해시 활천동,128.902108333333,35.2258805555555,95,77
김해시 삼안동,128.909641666666,35.2407611111111,95,77
김해시 불암동,128.928986111111,35.2189722222222,95,77
김해시 장유1동,128.812772222222,35.2012527777778,93,76
